,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year,Month,VWAP,Day_Per_Change,Trend
343,MINDTREE,EQ,2018-09-28,1052.35,1055.0,1058.65,1011.0,1030.0,1033.25,1030.57,1373849,1415845229.35,44250,407604,29.67,2018,9,839.7026628257339,-1.8149855086235456,Negative
344,MINDTREE,EQ,2018-10-01,1033.25,1025.1,1092.55,1016.0,1075.6,1071.8,1063.0,1384039,1471227780.2,50910,304274,21.98,2018,10,840.4174687623529,3.73094604403581,Among top gainers
345,MINDTREE,EQ,2018-10-03,1071.8,1089.4,1099.0,1060.0,1070.65,1073.35,1081.96,1314309,1422032231.15,46917,313429,23.85,2018,10,841.0967177611119,0.1446165329352489,Slight or No change
346,MINDTREE,EQ,2018-10-04,1073.35,1064.8,1083.85,1048.8,1056.95,1063.35,1065.14,716518,763190504.35,21368,109002,15.21,2018,10,841.4494838226676,-0.9316625518237309,Slight negative
347,MINDTREE,EQ,2018-10-05,1063.35,1054.15,1076.0,1033.3,1037.0,1040.65,1057.37,715895,756963968.85,22039,155044,21.66,2018,10,841.7648848607469,-2.1347627780128664,Negative
348,MINDTREE,EQ,2018-10-08,1040.65,1032.0,1049.65,974.15,997.0,998.35,1006.54,1138316,1145755340.4,34154,242171,21.27,2018,10,842.1581130483804,-4.064767212799703,Among top losers
349,MINDTREE,EQ,2018-10-09,998.35,997.0,1027.0,979.4,1005.0,1009.7,1002.27,1024000,1026329532.95,38989,181298,17.7,2018,10,842.5357501760755,1.1368758451444805,Positive
350,MINDTREE,EQ,2018-10-10,1009.7,996.0,1029.1,985.0,1007.0,1005.05,1006.94,771715,777069027.7,22838,136721,17.72,2018,10,842.8113396463907,-0.4605328315341328,Slight or No change
351,MINDTREE,EQ,2018-10-11,1005.05,935.05,1011.7,935.05,978.0,980.55,983.28,1112338,1093739436.65,34235,172125,15.47,2018,10,843.1471906243859,-2.4376896671807424,Negative
352,MINDTREE,EQ,2018-10-12,980.55,985.0,1000.0,941.2,958.0,953.25,967.86,1323286,1280752137.15,37371,242887,18.35,2018,10,843.4656456876859,-2.784151751567998,Negative
353,MINDTREE,EQ,2018-10-15,953.25,962.95,989.8,956.0,982.0,980.7,976.6,907803,886562595.25,18285,260798,28.73,2018,10,843.7374082441293,2.879622344610544,Positive
354,MINDTREE,EQ,2018-10-16,980.7,986.0,1001.85,973.6,980.6,984.8,990.43,919589,910788200.95,27954,199029,21.64,2018,10,844.0198120015818,0.4180687264198957,Slight or No change
355,MINDTREE,EQ,2018-10-17,984.8,999.95,999.95,952.25,981.3,977.95,972.65,1512677,1471304426.4,33535,220340,14.57,2018,10,844.4594160473744,-0.6955727051177862,Slight negative
356,MINDTREE,EQ,2018-10-19,977.95,925.0,927.8,801.1,819.3,813.9,834.85,8893142,7424441362.6,311806,1587361,17.85,2018,10,843.8808719263965,-16.774886241627907,Bear drop
357,MINDTREE,EQ,2018-10-22,813.9,819.25,827.2,780.0,806.5,802.6,794.56,5198199,4130259413.6,145092,1426999,27.45,2018,10,843.429059178202,-1.388376950485315,Negative
358,MINDTREE,EQ,2018-10-23,802.6,810.0,820.0,795.65,810.95,809.4,808.76,2052512,1659985125.25,53597,359058,17.49,2018,10,843.2826327156769,0.8472464490406173,Slight positive
359,MINDTREE,EQ,2018-10-24,809.4,815.0,823.8,787.15,802.45,805.5,800.86,2223910,1781029823.85,52696,352061,15.83,2018,10,843.1072958503905,-0.48183839881393853,Slight or No change
360,MINDTREE,EQ,2018-10-25,805.5,782.0,797.9,766.0,779.0,779.7,780.44,1910519,1491044643.5,43831,517859,27.11,2018,10,842.8555128290178,-3.2029795158286745,Among top losers
361,MINDTREE,EQ,2018-10-26,779.7,787.95,787.95,752.15,773.05,770.95,766.51,1332529,1021400553.95,30972,530136,39.78,2018,10,842.6569154291989,-1.1222264973707818,Negative
362,MINDTREE,EQ,2018-10-29,770.95,780.0,785.45,760.1,777.7,777.7,776.93,1245731,967847063.6,31728,393979,31.63,2018,10,842.48962755744,0.8755431610350861,Slight positive
363,MINDTREE,EQ,2018-10-30,777.7,778.0,792.25,768.05,785.15,786.15,782.38,2220031,1736916429.35,48471,942997,42.48,2018,10,842.2322331373721,1.0865372251510852,Positive
